epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_duration,best_checkpoint
1,1.455667291368757,1.3182114760080974,0.2857142857142857,0.4166666666666667,0.29166666666666663,0.001,0.273040771484375,True
2,1.2381924731390817,1.21909765402476,0.5178571428571429,0.25,0.2,0.001,0.26889801025390625,False
3,1.1022863984107971,1.210277795791626,0.625,0.5,0.43452380952380953,0.001,0.2855048179626465,True
4,0.9425224491528102,1.1321215232213337,0.6785714285714286,0.4166666666666667,0.3571428571428571,0.001,0.3472862243652344,False
5,0.7914562906537738,1.0916714270909627,0.6964285714285714,0.5,0.5059523809523809,0.001,0.31208324432373047,True
6,0.6312144164528165,1.1873497168223064,0.8035714285714286,0.5833333333333334,0.5928571428571429,0.001,0.38756895065307617,True
7,0.4873837445463453,0.998715877532959,0.8928571428571429,0.6666666666666666,0.6761904761904762,0.001,0.26958513259887695,True
8,0.4122686854430607,0.952725370724996,0.8214285714285714,0.75,0.7541666666666667,0.001,0.2670719623565674,True
9,0.35406812706163954,1.0154136419296265,0.8571428571428571,0.6666666666666666,0.6857142857142857,0.001,0.2685220241546631,False
10,0.3150755262800625,1.2684985001881917,0.8928571428571429,0.6666666666666666,0.6666666666666667,0.001,0.27341699600219727,False
11,0.24723695537873677,1.4454583326975505,0.9107142857142857,0.5833333333333334,0.5595238095238095,0.001,0.26139020919799805,False
12,0.13558834152562277,1.2756459315617878,0.9464285714285714,0.75,0.7267857142857143,0.001,0.26401209831237793,False
13,0.06400270760059357,1.366056203842163,1.0,0.75,0.7541666666666667,0.0005,0.29941511154174805,False
14,0.0642760976084641,1.3153424660364788,0.9821428571428571,0.8333333333333334,0.8375,0.0005,0.34673595428466797,True
15,0.03252758338515248,1.3072611093521118,1.0,0.8333333333333334,0.8375,0.0005,0.32303786277770996,False
16,0.020419657230377197,1.370080828666687,1.0,0.75,0.7541666666666667,0.0005,0.2922830581665039,False
17,0.01267170739759292,1.360365589459737,1.0,0.8333333333333334,0.8375,0.0005,0.2877779006958008,False
18,0.009981723901416575,1.3680241107940674,1.0,0.8333333333333334,0.8375,0.0005,0.2868478298187256,False
19,0.007798161623733384,1.3807848691940308,1.0,0.8333333333333334,0.8375,0.00025,0.26051878929138184,False
20,0.006562664273328015,1.3898168007532756,1.0,0.8333333333333334,0.8375,0.00025,0.24716591835021973,False
21,0.006803619908168912,1.3994739850362141,1.0,0.8333333333333334,0.8375,0.00025,0.24767518043518066,False
22,0.0064392804301210815,1.4023021062215169,1.0,0.8333333333333334,0.8375,0.00025,0.2532811164855957,False
23,0.0059080026445112056,1.402087926864624,1.0,0.8333333333333334,0.8375,0.00025,0.2548658847808838,False
24,0.005659871834463307,1.404597004254659,1.0,0.8333333333333334,0.8375,0.000125,0.2606930732727051,False
25,0.005103627685457468,1.4061696132024128,1.0,0.8333333333333334,0.8375,0.000125,0.25498104095458984,False
26,0.005056912844468441,1.4083283344904582,1.0,0.8333333333333334,0.8375,0.000125,0.2687983512878418,False
