feature_name,feature_index,feature_group,mean,std,min,max,range,variance,mean_abs_temporal_delta,near_zero_percentage,health_status,notes,class_mean__cover_drive,class_std__cover_drive,class_mean__defensive_shot,class_std__defensive_shot,class_mean__pull_shot,class_std__pull_shot,class_mean__sweep_shot,class_std__sweep_shot
lead_elbow_angle,0,JOINT_ANGLE_FEATURES,122.83845234374205,29.728915644985353,8.802021026611328,178.17398071289062,169.3719596862793,883.8084254266548,11.348515740491576,0.0,healthy,,123.55747466246287,30.10491351337158,115.39335639556249,31.1996009494212,128.183210755984,29.30005668329407,124.21976756095886,26.657054263828606
trail_elbow_angle,1,JOINT_ANGLE_FEATURES,103.62294798076152,35.69460931851184,15.45258617401123,175.4967803955078,160.04419422149658,1274.1051344011921,12.010834484181162,0.0,healthy,,100.35045449972152,37.65552558863655,101.63097570419312,35.14344026134054,103.55891592025756,35.78735844204553,108.9514457988739,33.46059408244242
lead_knee_angle,2,JOINT_ANGLE_FEATURES,110.34480940739314,31.71506153526258,16.353113174438477,177.7473907470703,161.39427757263184,1005.8451281854922,9.455396511595128,0.0,healthy,,121.34369635264079,27.513715926851294,110.60123979568482,26.132014661910276,117.66772099177042,26.260250553432396,91.76658048947652,37.06853254232839
trail_knee_angle,3,JOINT_ANGLE_FEATURES,124.94336149205765,32.16442310879725,6.022727012634277,179.3509063720703,173.32817935943604,1034.5501139217308,11.396630266763395,0.0,healthy,,133.06090458869934,27.240266717132943,128.5200041913986,33.258098043499615,123.89154167175293,27.417116511467704,114.30099551637967,36.67854692013735
lead_shoulder_angle,4,JOINT_ANGLE_FEATURES,64.03954268654809,31.69879942611395,0.2641666829586029,167.6613311767578,167.3971644937992,1004.813885057002,10.38735524813755,0.0,healthy,,67.06030187060436,33.25959662654364,61.586523628681896,33.6230393475082,63.549441598852475,28.468579886662493,63.96190364805361,30.930526043012478
trail_shoulder_angle,5,JOINT_ANGLE_FEATURES,55.98898517126838,38.58514412752793,1.690631628036499,167.26730346679688,165.57667183876038,1488.813347342103,10.792797243696148,0.0,healthy,,53.44584950129191,38.83520517777473,54.872549712260565,39.95607861982448,54.809143779476486,34.77024251578646,60.828397692044575,40.113543080389746
lead_wrist_relative_x,6,JOINT_ANGLE_FEATURES,0.05537801349906355,0.42753343550314177,-1.724426507949829,1.3868424892425537,3.111268997192383,0.18278483847311908,0.08388893585510293,0.0,healthy,,0.15804459878730995,0.378761838984991,0.011408696050251214,0.4194171027695113,0.04633974112605453,0.4640348582321273,0.005719018032638511,0.4259323099521994
hip_rotation_angle,7,JOINT_ANGLE_FEATURES,6.231317288968906,22.154744368537237,-179.8918914794922,176.2031707763672,356.0950622558594,490.8326980352324,4.416836199156498,0.0,healthy,,10.62846890767881,18.782377883456732,5.854367217898059,10.90525480199586,1.6218227359590431,35.089615810059584,6.820610294339713,14.80795776586083
trunk_lean,8,POSTURE_ALIGNMENT_FEATURES,132.04097813812396,29.53731256149029,1.3744044303894043,179.8607177734375,178.4863133430481,872.452833355172,6.558962000578137,0.0,healthy,,139.57570342024167,28.22969313867243,128.45944485942522,23.470940014900005,131.70498568644126,38.587090805518415,128.42377858638764,23.879921848126745
head_over_base_offset,9,POSTURE_ALIGNMENT_FEATURES,0.11397297224473125,0.283518017524103,-1.3220254182815552,1.2527881860733032,2.5748136043548584,0.08038246626079758,0.058887775031071524,0.0,healthy,,0.18071381959853777,0.2741405939263933,0.12307805463429153,0.24254391233468725,0.15676671188545394,0.28588793538255486,-0.004666697139358197,0.2921873033896742
head_to_lead_knee_alignment,10,POSTURE_ALIGNMENT_FEATURES,0.08628649600844558,0.3384697392020374,-1.8208374977111816,1.9741569757461548,3.7949944734573364,0.1145617643554952,0.07846850757546313,0.0,healthy,,-0.00989453208330815,0.41532776743208655,0.18255351914679827,0.20164926655535925,0.14603182411689583,0.3904208928261324,0.02645517285339641,0.258827319644611
shoulder_hip_separation,11,POSTURE_ALIGNMENT_FEATURES,-6.231317288968906,22.154744368537237,-176.2031707763672,179.8918914794922,356.0950622558594,490.8326980352324,4.416836199156498,0.0,healthy,,-10.62846890767881,18.782377883456732,-5.854367217898059,10.90525480199586,-1.6218227359590431,35.089615810059584,-6.820610294339713,14.80795776586083
stance_width,12,POSTURE_ALIGNMENT_FEATURES,0.3659158403822221,0.2716059340496319,0.0044537014327943325,1.6480255126953125,1.6435718112625182,0.073769783410973,0.05714295337418631,0.0,healthy,,0.3609291931835469,0.28382449732205334,0.3688908844611918,0.250128981915112,0.4066176927629082,0.3086990388136476,0.32722559112124144,0.23124854700681588
body_center_offset_x,13,POSTURE_ALIGNMENT_FEATURES,0.02772934133864112,0.09992924660826,-0.4948935806751251,0.49754634499549866,0.9924399256706238,0.009985854327694443,0.021624038442395802,0.0,healthy,,0.016581434191951606,0.11227648922834267,0.03977966693452951,0.07627838664663432,0.05294101699854461,0.11011784558726415,0.0016152472295387574,0.08835165199193662
body_center_offset_y,14,POSTURE_ALIGNMENT_FEATURES,0.3052301249214118,0.1849981938515388,-0.4998561441898346,0.4999985098838806,0.9998546540737152,0.034224331728331524,0.03469672720983893,0.0,healthy,,0.35019703275659897,0.17028436310196166,0.28561577801126986,0.14209203760661346,0.29828769114955017,0.24943580890573624,0.28681999776822825,0.15065960675371642
