sample_index,file_name,frame_index,energy,state,transition,prediction_triggered
1,cover_drive_average_02.mov,23,0.7565186404015698,swing,,False
1,cover_drive_average_02.mov,24,0.7225271860535921,swing,,False
1,cover_drive_average_02.mov,25,0.6376233591042078,swing,,False
1,cover_drive_average_02.mov,26,0.5711732896048628,swing,,False
1,cover_drive_average_02.mov,27,0.45274903261840055,swing,,False
1,cover_drive_average_02.mov,28,0.4363856482802071,swing,,False
1,cover_drive_average_02.mov,29,0.44497133945474143,swing,,False
1,cover_drive_average_02.mov,30,0.3637565114590954,swing,,False
1,cover_drive_average_02.mov,31,0.4032860608072829,swing,,False
1,cover_drive_average_02.mov,32,0.341234523537994,swing,,False
1,cover_drive_average_02.mov,33,0.319133176280354,swing,,False
1,cover_drive_average_02.mov,34,0.3000081393871034,swing,,False
1,cover_drive_average_02.mov,35,0.33080388951614137,swing,,False
1,cover_drive_average_02.mov,36,0.3101490129056432,swing,,False
1,cover_drive_average_02.mov,37,0.37105634599141935,swing,,False
1,cover_drive_average_02.mov,38,0.4693460833840279,swing,,False
1,cover_drive_average_02.mov,39,0.4814817957883562,swing,,False
1,cover_drive_average_02.mov,40,0.48262737032677855,swing,,False
1,cover_drive_average_02.mov,41,0.4361294136089593,swing,,False
1,cover_drive_average_02.mov,42,0.39101278743967144,swing,,False
1,cover_drive_average_02.mov,43,0.2976646505030292,swing,,False
1,cover_drive_average_02.mov,44,0.33923146181028485,swing,,False
1,cover_drive_average_02.mov,45,0.3336536629100148,swing,,False
1,cover_drive_average_02.mov,46,0.3339736359223526,swing,,False
1,cover_drive_average_02.mov,47,0.37804324086788926,swing,,False
1,cover_drive_average_02.mov,48,0.40869663413166785,swing,,False
1,cover_drive_average_02.mov,49,0.411085517476631,swing,,False
1,cover_drive_average_02.mov,50,0.46398601525968985,swing,,False
1,cover_drive_average_02.mov,51,0.5036258238361487,swing,,False
1,cover_drive_average_02.mov,52,0.6239222867943733,swing,,False
1,cover_drive_average_02.mov,53,0.7114075650108158,swing,,False
1,cover_drive_average_02.mov,54,0.6393777272400271,swing,,False
1,cover_drive_average_02.mov,55,0.6626525116126575,swing,,False
1,cover_drive_average_02.mov,56,0.6488672671433647,swing,,False
1,cover_drive_average_02.mov,57,0.4833994978808585,swing,,False
1,cover_drive_average_02.mov,58,0.3235018468216495,swing,,False
1,cover_drive_average_02.mov,59,0.32189100921491576,swing,,False
1,cover_drive_average_02.mov,59,0.32189100921491576,completed,sequence_end_to_completed,True
2,cover_drive_average_03.mov,0,0.015572952110795036,idle,,False
2,cover_drive_average_03.mov,1,0.022345508476982363,idle,,False
2,cover_drive_average_03.mov,2,0.0290007690765518,idle,,False
2,cover_drive_average_03.mov,3,0.03630945953718164,idle,,False
2,cover_drive_average_03.mov,4,0.02925285576469072,idle,,False
2,cover_drive_average_03.mov,5,0.03298653392689702,idle,,False
2,cover_drive_average_03.mov,6,0.03277963853147144,idle,,False
2,cover_drive_average_03.mov,7,0.032777783213409295,idle,,False
2,cover_drive_average_03.mov,8,0.028687463169614933,idle,,False
2,cover_drive_average_03.mov,9,0.02632955311351973,idle,,False
2,cover_drive_average_03.mov,10,0.025989568510741936,idle,,False
2,cover_drive_average_03.mov,11,0.026376401159373106,idle,,False
2,cover_drive_average_03.mov,12,0.024637225301040764,idle,,False
2,cover_drive_average_03.mov,13,0.03444885163478831,idle,,False
2,cover_drive_average_03.mov,14,0.03641195016460291,idle,,False
2,cover_drive_average_03.mov,15,0.0500081764261119,idle,,False
2,cover_drive_average_03.mov,16,0.06059704388528909,idle,,False
2,cover_drive_average_03.mov,17,0.12101937308664812,idle,,False
2,cover_drive_average_03.mov,18,0.13090746982947926,idle,,False
2,cover_drive_average_03.mov,19,0.15345192154595497,idle,,False
2,cover_drive_average_03.mov,20,0.18222360458879874,idle,,False
2,cover_drive_average_03.mov,21,0.19503901729514944,idle,,False
2,cover_drive_average_03.mov,22,0.20074483761891088,idle,,False
2,cover_drive_average_03.mov,23,0.21659062056905162,idle,,False
2,cover_drive_average_03.mov,24,0.2422730235491556,idle,,False
2,cover_drive_average_03.mov,25,0.35792055926189137,preparation,idle_to_preparation,False
2,cover_drive_average_03.mov,26,0.5071773355310986,backswing,preparation_to_backswing,False
2,cover_drive_average_03.mov,27,0.6361349565828032,swing,backswing_to_swing,False
2,cover_drive_average_03.mov,28,0.7569300730290112,swing,,False
2,cover_drive_average_03.mov,29,0.9027940427040226,swing,,False
2,cover_drive_average_03.mov,30,0.9391725429438909,swing,,False
2,cover_drive_average_03.mov,31,0.7920003148393343,swing,,False
2,cover_drive_average_03.mov,32,0.6503871300612359,swing,,False
2,cover_drive_average_03.mov,33,0.50217462587718,swing,,False
2,cover_drive_average_03.mov,34,0.3487018310256866,swing,,False
2,cover_drive_average_03.mov,35,0.17298999878214752,follow_through,swing_to_follow_through,False
2,cover_drive_average_03.mov,36,0.18726653147891234,follow_through,,False
