epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_duration,best_checkpoint
1,1.397638542311532,1.291538953781128,0.23214285714285715,0.3333333333333333,0.24285714285714285,0.001,0.2617518901824951,True
2,1.276976227760315,1.207995096842448,0.48214285714285715,0.4166666666666667,0.375,0.001,0.24770212173461914,True
3,1.1156120811189925,1.1937837600708008,0.5892857142857143,0.3333333333333333,0.25396825396825395,0.001,0.30388522148132324,False
