epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_duration,best_checkpoint
1,1.4048117739813668,1.2598130702972412,0.26785714285714285,0.3333333333333333,0.24285714285714285,0.001,0.33765506744384766,True
2,1.1988172360828944,1.2120610475540161,0.4642857142857143,0.3333333333333333,0.24285714285714285,0.001,0.3428230285644531,False
3,1.0716185229165214,1.172041932741801,0.5892857142857143,0.3333333333333333,0.25396825396825395,0.001,0.37707996368408203,True
4,0.9535821335656303,1.1995885769526164,0.7142857142857143,0.5,0.5194444444444444,0.001,0.5850670337677002,True
5,0.832733188356672,1.2469444672266643,0.6964285714285714,0.4166666666666667,0.45892857142857146,0.001,0.8314108848571777,False
6,0.742464576448713,1.315927545229594,0.75,0.4166666666666667,0.4638888888888889,0.001,0.269028902053833,False
7,0.6393023261002132,1.2536142667134602,0.75,0.4166666666666667,0.39166666666666666,0.001,0.2619931697845459,False
8,0.5435092960085187,1.0911012093226116,0.7857142857142857,0.5,0.5194444444444444,0.001,0.29718875885009766,False
9,0.4019004830292293,0.9601052602132162,0.8571428571428571,0.4166666666666667,0.43452380952380953,0.0005,0.7883822917938232,False
10,0.2518854407327516,0.8622179826100668,0.9464285714285714,0.5,0.5214285714285715,0.0005,0.2830379009246826,True
11,0.1788410943533693,0.70939173301061,0.9464285714285714,0.6666666666666666,0.6541666666666666,0.0005,0.26242613792419434,True
12,0.14394754118153028,0.7098829547564188,0.9464285714285714,0.75,0.7541666666666667,0.0005,0.29309511184692383,True
13,0.13024036400020123,0.6976870695749918,0.9464285714285714,0.75,0.7291666666666666,0.0005,0.27259302139282227,False
14,0.07772831472435168,0.5681918064753214,0.9642857142857143,0.8333333333333334,0.8375,0.0005,0.25376272201538086,True
15,0.057309254737836976,0.5091619690259298,1.0,0.8333333333333334,0.8375,0.0005,0.25415825843811035,False
16,0.03410603079412665,0.5105280876159668,1.0,0.75,0.7291666666666666,0.0005,0.31186723709106445,False
17,0.025025664562625543,0.5141841967900594,1.0,0.75,0.7309523809523809,0.0005,0.2539987564086914,False
18,0.019238838526819433,0.6174208323160807,1.0,0.75,0.7309523809523809,0.0005,0.2539057731628418,False
19,0.01285207411274314,0.6818021535873413,1.0,0.75,0.7309523809523809,0.00025,0.2500901222229004,False
20,0.009624713233539037,0.645815889040629,1.0,0.75,0.7309523809523809,0.00025,0.2544057369232178,False
21,0.007750861280198608,0.6425959467887878,1.0,0.75,0.7309523809523809,0.00025,0.2658979892730713,False
22,0.007004714171801295,0.6434900760650635,1.0,0.75,0.7309523809523809,0.00025,0.30388712882995605,False
23,0.006163648329675198,0.6463648279507955,1.0,0.75,0.7309523809523809,0.00025,0.3186318874359131,False
24,0.0059373821464500254,0.6415541966756185,1.0,0.75,0.7309523809523809,0.000125,0.2893509864807129,False
25,0.005521712924486825,0.6421874761581421,1.0,0.75,0.7309523809523809,0.000125,0.3114187717437744,False
26,0.005055214777322752,0.6446407039960226,1.0,0.75,0.7309523809523809,0.000125,0.2504451274871826,False
